year,month,total_revenue,order_volume
2011,1,56880.00,137
2011,2,91466.00,184
2011,3,150228.00,288
2011,4,118088.00,278
2011,5,150426.00,301
2011,6,215837.00,475
2011,7,122640.00,262
2011,8,213865.00,450
2011,9,291045.00,532
2011,10,205863.00,414
2011,11,304953.00,576
2011,12,336572.00,628
2012,1,135775.00,261
2012,2,100521.00,231
2012,3,163092.00,338
2012,4,161060.00,323
2012,5,208370.00,414
2012,6,256181.00,572
2012,7,145247.00,325
2012,8,303158.00,522
2012,9,289390.00,642
2012,10,252942.00,500
2012,11,323512.00,717
2012,12,338245.00,629
2013,1,199197.00,345
2013,2,167247.00,307
2013,3,198591.00,411
2013,4,177835.00,395
2013,5,260525.00,523
2013,6,396513.00,725
2013,7,229940.00,447
2013,8,326491.00,693
2013,9,376626.00,837
2013,10,293423.00,580
2013,11,373996.00,789
2013,12,405476.00,825
2014,1,241267.00,450
2014,2,184848.00,386
2014,3,263110.00,531
2014,4,242781.00,523
2014,5,288404.00,668
2014,6,401843.00,900
2014,7,258718.00,540
2014,8,456633.00,844
2014,9,481186.00,1018
2014,10,422785.00,810
2014,11,555312.00,1078
2014,12,503154.00,1093
